DecimalDay,TemperatureF
7.82708,28.04
7.86875,26.96
7.91042,24.98
7.95208,24.98
7.99375,21.02
8.03542,21.02
8.07708,21.02
8.11875,19.94
8.16042,19.94
8.20208,19.04
8.24375,19.04
8.28542,17.96
8.32708,17.96
8.36875,24.08
8.41042,28.94
8.45208,30.92
8.49375,35.06
8.53542,35.96
8.57708,37.94
8.61875,41
8.66042,42.08
8.70208,41
8.74375,37.04
8.78542,35.06
8.82708,33.08
8.86875,32
8.91042,30.92
8.95208,28.04
8.99375,26.96
9.03542,26.06
9.07708,24.08
9.11875,24.08
9.16042,23
9.20208,21.02
9.24375,19.94
9.28542,24.08
9.32708,19.94
9.36875,28.04
9.41042,33.98
9.45208,37.04
9.49375,39.92
9.53542,42.08
9.57708,46.04
9.61875,46.04
9.66042,46.94
9.70208,46.04
9.74375,42.98
9.78542,41
9.82708,37.04
9.86875,35.06
9.91042,33.08
9.95208,32
9.99375,32
10.0354,30.92
10.0771,30.02
10.1188,28.04
10.1604,28.04
10.2021,26.96
10.2438,28.04
10.2854,28.94
10.3271,28.04
10.3688,35.06
10.4104,39.02
10.4521,44.06
10.4938,48.02
10.5354,48.02
10.5771,50
10.6188,53.06
10.6604,57.02
10.7021,55.94
10.7438,53.06
10.7854,48.92
10.8271,46.04
10.8688,46.04
10.9104,42.08
10.9521,39.92
10.9938,39.92
11.0354,42.08
11.0771,44.06
11.1188,42.08
11.1604,42.08
11.2021,42.98
11.2438,41
11.2854,39.92
11.3271,39.92
11.3688,41
11.4104,46.94
11.4521,55.04
11.4938,60.08
11.5354,62.06
11.5771,64.04
11.6188,64.94
11.6604,64.04
11.7021,62.96
11.7438,57.92
11.7854,55.94
11.8271,53.96
11.8688,51.08
11.9104,50
11.9521,50
11.9938,48.02
12.0354,46.94
12.0771,44.06
12.1188,44.96
12.1604,46.04
12.2021,44.06
12.2438,44.06
12.2854,44.96
12.3271,44.06
12.3688,48.92
12.4104,51.08
12.4521,55.04
12.4938,57.02
12.5354,59
12.6097,55.4
12.6188,55.04
12.6604,55.94
12.6778,57.2
12.7021,55.94
12.7438,55.04
12.7854,51.08
12.8271,51.98
12.8688,51.98
12.8771,51.8
12.8965,51.8
12.9104,51.98
12.9521,51.08
12.9938,51.08
12.9986,51.8
13.0222,51.8
13.0278,51.8
13.0354,51.08
13.0771,51.08
13.0938,51.8
13.1097,51.8
13.1188,51.08
13.1604,50
13.2021,50
13.2278,50
13.2438,50
13.2528,50
13.2826,50
13.2854,50
13.2917,50
13.3271,50
13.334,50
13.3667,51.8
13.3688,51.08
13.391,51.8
13.4104,51.98
13.4194,51.8
13.4264,51.8
13.4465,51.8
13.4521,51.98
13.4938,53.96
13.5354,55.04
13.5403,55.4
13.5611,55.4
13.5771,55.94
13.6188,57.02
13.6604,57.92
13.7021,57.92
13.7125,57.2
13.7438,57.92
13.7854,57.92
13.8271,57.02
13.8368,57.2
13.8535,57.2
13.8688,57.02
13.9104,55.94
13.9521,55.94
13.9722,55.4
13.975,55.4
13.9938,55.04
14.0014,55.4
14.0076,55.4
14.0118,55.4
14.0153,55.4
14.0201,55.4
14.0264,55.4
14.0354,55.04
14.0549,53.6
14.0771,53.96
14.091,53.6
14.1188,53.96
14.134,53.6
14.1389,53.6
14.1604,53.06
14.1931,53.6
14.2021,53.06
14.2326,51.8
14.2438,51.98
14.2854,51.98
14.2993,51.8
14.3083,51.8
14.3271,51.08
14.3319,51.8
14.3396,51.8
14.3688,51.98
14.3931,51.8
14.4014,51.8
14.4104,51.08
14.4187,51.8
14.4375,51.8
14.4444,51.8
14.4521,51.08
14.4569,51.8
14.4653,51.8
14.4701,51.8
14.4778,51.8
14.4938,51.98
14.5007,51.8
14.5076,51.8
14.5174,51.8
14.5201,51.8
14.525,51.8
14.5354,51.08
14.5417,51.8
14.5681,51.8
14.5771,51.08
14.6188,51.08
14.6604,50
14.7021,48.92
14.7438,48.02
14.7854,46.94
14.8104,46.4
14.8271,46.94
14.8688,46.04
14.9104,46.04
14.9521,44.96
14.9938,44.96
15.0278,44.6
15.0354,44.96
15.0479,44.6
15.0563,44.6
15.0771,44.06
15.1188,44.06
15.1604,44.96
15.2021,44.96
15.2438,44.96
15.284,44.6
15.2854,44.96
15.3271,46.94
15.3688,48.02
15.4104,50
15.4521,51.98
15.4938,55.04
15.5354,57.02
15.5771,60.08
15.6188,62.06
15.6604,60.98
15.7021,59
15.7438,57.02
15.7854,55.04
15.8271,53.06
15.8688,51.98
15.9104,51.08
15.9521,48.92
15.9938,46.94
16.0354,46.04
16.0771,44.96
16.1188,44.96
16.1604,44.06
16.2021,42.98
16.2438,41
16.2854,39.92
16.3271,41
16.334,41
16.3688,44.06
16.4104,46.94
16.4521,51.98
16.4938,57.92
16.5354,60.08
16.5771,64.04
16.6188,62.96
16.6604,64.04
16.7021,62.06
16.7438,57.92
16.7854,55.94
16.8271,53.06
16.8688,51.98
16.9104,50
16.9521,48.92
16.9938,46.94
17.0354,46.94
17.0771,46.04
17.1188,46.04
17.1604,44.96
17.1694,46.4
17.2021,48.02
17.2438,48.92
17.2854,48.92
17.2972,48.2
17.3271,48.92
17.3688,53.06
17.4104,55.04
17.4236,55.4
17.4521,57.02
17.4938,59
17.5243,60.8
17.5354,60.98
17.5604,64.4
17.5771,66.02
17.6188,68
17.6431,68
17.6604,69.08
17.7021,68
17.7438,66.02
17.7854,64.04
17.8271,60.98
17.8688,60.98
17.8924,60.8
17.909,60.8
17.9104,60.98
17.9521,60.08
17.9861,60.8
17.9938,60.08
18.0007,60.8
18.0354,60.08
18.0444,60.8
18.0771,60.98
18.1188,62.06
18.1604,62.96
18.2021,62.96
18.2438,62.96
18.2854,62.96
18.3271,62.06
18.3688,62.06
18.3743,60.8
18.3812,60.8
18.4104,62.06
18.4521,62.96
18.4938,64.04
18.5208,64.4
18.5354,64.94
18.566,66.2
18.5771,68
18.6,69.8
18.6188,69.98
18.6604,71.06
18.7021,69.98
18.7438,68
18.7854,66.02
18.8035,66.2
18.8271,66.92
18.8604,66.2
18.8688,66.02
18.9104,66.02
18.9458,66.2
18.9521,66.02
18.9938,66.02
19.0292,64.4
19.0354,64.04
19.0771,66.02
19.091,64.4
19.0958,64.4
19.1174,64.4
19.1188,64.04
19.1326,64.4
19.1604,62.96
19.1667,62.6
19.1799,62.6
19.2021,62.96
19.2438,62.96
19.2854,64.04
19.3271,64.04
19.3451,64.4
19.3688,64.04
19.4104,64.94
19.4521,66.02
19.4771,68
19.4938,69.98
19.5354,69.08
19.5771,69.08
19.6188,71.06
19.6271,71.6
19.6604,71.06
19.7021,71.96
19.7438,69.08
19.7854,64.04
19.8271,62.96
19.8688,60.98
19.9104,60.08
19.9521,59
19.9938,55.94
20.0354,55.04
20.05,53.6
20.0583,53.6
20.0708,53.6
20.0771,53.06
20.1188,50
20.1257,48.2
20.1319,50
20.1604,53.06
20.2021,51.98
20.2438,48.02
20.2854,48.02
20.3271,46.94
20.3688,53.96
20.4104,59
20.4521,62.96
20.4938,68
20.5354,69.98
20.5771,73.04
20.6188,73.94
20.6604,75.02
20.7021,73.94
20.7438,69.08
20.7854,62.96
20.8271,59
20.8688,57.02
20.9104,55.04
20.9521,53.96
20.9938,51.98
21.0354,53.06
21.0771,51.98
21.1188,51.08
21.1604,50
21.2021,48.92
21.2438,50
21.2854,48.02
21.3271,48.02
21.3688,55.94
21.4104,59
21.4389,59
21.4507,57.2
21.4521,59
21.4938,62.06
21.5076,64.4
21.5181,66.2
21.5354,68
21.5771,73.04
21.6188,73.94
21.6604,73.94
21.7021,73.94
21.7438,71.06
21.7854,68
21.8271,66.02
21.8403,66.2
21.8688,66.02
21.9104,64.94
21.9521,64.94
21.9938,64.04
22.0215,64.4
22.0326,64.4
22.0354,64.04
22.0771,64.04
22.0931,64.4
22.1111,64.4
22.1188,64.94
22.1514,64.4
22.1604,64.04
22.2021,62.06
22.2438,62.06
22.2854,62.06
22.2972,62.6
22.3271,62.06
22.3403,62.6
22.3688,62.96
22.4104,64.04
22.4521,66.02
22.4938,66.92
22.5354,69.08
22.5771,69.08
22.6188,66.02
22.6604,62.06
22.7021,60.98
22.7438,60.98
22.7854,59
22.8271,57.92
22.8688,55.04
22.9104,53.96
22.9521,53.96
22.9938,55.94
23.0354,51.08
23.0771,51.98
23.1188,51.98
23.1604,50
23.2021,53.06
23.2438,53.96
23.2854,53.96
23.3271,53.06
23.3688,55.04
23.4104,57.02
23.4521,59
23.4938,60.98
23.5354,62.96
23.5771,64.94
23.6188,64.04
23.6604,64.04
23.7021,62.96
23.7438,60.98
23.7854,57.92
23.8271,55.04
23.8688,53.06
23.9104,48.02
23.9521,46.04
23.9938,42.08
24.0354,41
24.0771,39.92
24.1188,39.92
24.1604,41
24.2021,37.94
24.2438,35.96
24.2854,35.06
24.3271,37.94
24.3688,42.98
24.4104,51.08
24.4521,55.04
24.4938,59
24.5354,60.98
24.5771,64.94
24.6188,66.02
24.6604,66.92
24.7021,64.04
24.7438,60.08
24.7854,57.02
24.8271,55.04
24.8688,53.96
24.9104,51.98
24.9521,51.08
24.9938,48.92
25.0354,44.06
25.0771,42.98
25.1188,42.98
25.1604,41
25.2021,41
25.2438,35.96
25.2854,39.92
25.3271,37.04
25.3688,46.94
25.4104,55.04
25.4938,62.06
25.5354,66.02
25.5771,66.92
25.6188,66.92
25.6604,68
25.7021,66.92
25.7438,64.94
25.7854,62.96
25.8271,59
25.8688,57.92
25.9104,57.02
25.9521,55.04
25.9938,53.96
26.0354,53.96
26.0771,53.96
26.1188,53.96
26.1604,55.04
26.2021,53.96
26.2438,53.96
26.2854,53.96
26.3271,55.04
26.3688,55.94
26.4104,57.92
26.4521,59
26.4938,62.06
26.5354,64.04
26.5771,64.94
26.6188,66.02
26.6535,68
26.6604,66.92
26.7021,66.92
26.7438,66.02
26.7854,64.94
26.8146,64.4
26.8271,64.04
26.8688,64.04
26.9104,62.96
26.9521,62.06
26.9938,62.96
27.0354,62.06
27.0771,60.98
27.1132,60.8
27.1188,60.98
27.1604,60.98
27.2021,60.98
27.2438,60.98
27.2854,60.08
27.3271,60.98
27.3688,62.06
27.4104,62.96
27.4521,62.96
27.4938,64.04
27.5354,64.94
27.5771,64.04
27.6188,64.94
27.6604,66.02
27.7021,66.02
27.7438,66.92
27.7854,66.92
27.8271,66.92
27.8688,66.02
27.8861,66.2
27.9104,64.04
27.9521,64.94
27.9771,64.4
27.9938,64.04
27.9993,64.4
28.0028,64.4
28.0132,62.6
28.0229,59
28.0285,57.2
28.0354,57.02
28.0451,55.4
28.0486,55.4
28.0569,55.4
28.0583,55.4
28.0618,55.4
28.0722,55.4
28.0757,55.4
28.0771,55.04
28.1174,53.6
28.1188,53.06
28.1292,51.8
28.1438,51.8
28.1549,48.2
28.1576,48.2
28.1604,48.02
28.166,46.4
28.2021,44.06
28.2188,44.6
28.2278,42.8
28.2438,42.98
28.2486,42.8
28.2535,42.8
28.2639,42.8
28.2708,42.8
28.2819,42.8
28.284,42.8
28.2854,41
28.2917,41
28.2958,41
28.3271,39.92
28.3326,39.2
28.3507,39.2
28.3688,39.02
28.3882,39.2
28.4104,39.92
28.4292,39.2
28.4368,39.2
28.4521,41
28.4854,42.8
28.4938,42.98
28.5354,41
28.5771,39.02
28.6188,39.02
28.6604,39.02
28.7021,39.02
28.7438,37.94
28.7854,35.96
28.8271,35.96
28.8688,35.06
28.9104,33.08
28.9319,33.8
28.9521,33.08
28.9632,33.8
28.9938,32
29.0354,30.92
29.0771,30.92
29.1188,30.92
29.1535,30.2
29.1604,30.92
29.2021,30.92
29.2438,32
29.2854,32
29.3139,30.2
29.3271,30.02
29.3688,32
29.4007,35.6
29.4104,33.98
29.4521,37.94
29.4938,37.94
29.5354,41
29.5771,42.98
29.6188,44.96
29.6604,44.96
29.7021,44.06
29.7438,42.08
29.7854,39.92
29.8271,37.94
29.8688,35.06
29.9104,33.08
29.9521,32
29.9938,32
30.0354,30.92
30.0451,30.2
30.0667,32
30.0771,32
30.1188,30.92
30.1604,30.92
30.2021,30.92
30.2438,30.02
30.2854,30.02
30.3271,30.92
30.3688,30.92
30.4104,30.92
30.4521,32
30.4938,32
30.5354,33.08
30.5771,33.98
30.6,33.8
30.6188,33.98
30.6604,35.06
30.7021,35.06
30.7438,35.06
30.7854,33.98
30.7993,33.8
30.8271,33.98
30.8688,33.98
30.9083,33.8
30.9104,33.98
30.9521,33.98
30.9938,33.98
31.009,33.8
31.0354,33.98
31.0771,33.98
31.1111,35.6
31.1188,35.06
31.1236,35.6
31.1382,35.6
31.1604,35.06
31.1694,35.6
31.2021,35.96
31.2438,35.96
31.2792,35.6
31.2854,35.96
31.3271,37.04
31.3556,37.4
31.3653,37.4
31.3688,37.94
31.3757,37.4
31.4104,37.94
31.4153,37.4
31.4222,37.4
31.45,39.2
31.4521,39.02
31.4674,39.2
31.4938,39.02
31.5083,39.2
31.5215,41
31.5354,41
31.5583,42.8
31.5771,42.98
31.6,44.6
31.6188,44.96
31.6382,46.4
31.6604,44.96
31.6931,44.6
31.7021,44.96
31.709,44.6
31.7438,44.96
31.7542,44.6
31.7625,44.6
31.7694,44.6
31.7854,44.96
31.8021,44.6
31.8271,44.96
31.8688,44.96
31.9104,44.06
31.9181,44.6
31.9521,44.96
31.9569,44.6
31.9938,44.96
32.0153,44.6
32.0354,44.96
32.0771,44.96
32.1014,44.6
32.1188,44.96
32.1396,44.6
32.1444,44.6
32.1583,44.6
32.1604,44.96
32.1681,44.6
32.2021,44.96
32.2438,44.96
32.2854,44.96
32.309,46.4
32.3243,46.4
32.3271,46.04
32.3688,46.94
32.375,46.4
32.4104,48.92
32.4521,50
32.4938,48.92
32.5354,50
32.5771,51.08
32.6174,51.8
32.6188,51.08
32.6604,51.08
32.7021,51.08
32.7424,51.8
32.7438,51.08
32.7632,51.8
32.7701,51.8
32.7757,51.8
32.784,50
32.7854,50
32.816,51.8
32.8271,51.08
32.8688,51.98
32.9104,51.08
32.9521,50
32.9938,50
33.0354,48.92
33.0611,48.2
33.0771,48.92
33.1188,48.92
33.1604,48.02
33.2021,46.94
33.2153,46.4
33.2257,46.4
33.2312,46.4
33.2438,46.04
33.2583,46.4
33.2708,46.4
33.2799,46.4
33.2854,46.04
33.2931,46.4
33.3271,46.94
33.3472,46.4
33.3688,46.94
33.3972,46.4
33.4021,46.4
33.4104,46.94
33.4431,46.4
33.4521,46.94
33.491,46.4
33.4938,46.94
33.4993,46.4
33.5354,46.94
33.5771,46.94
33.6028,46.4
33.6097,46.4
33.616,46.4
33.6188,46.94
33.6299,46.4
33.6604,46.94
33.6813,46.4
33.6868,46.4
33.6924,46.4
33.6993,46.4
33.7021,46.94
33.7181,46.4
33.7438,46.94
33.7569,46.4
33.7854,46.94
33.8271,48.02
33.8688,48.02
33.9104,46.94
33.9285,46.4
33.9486,46.4
33.9521,46.94
33.9938,46.94
34.0069,46.4
34.0194,46.4
34.0354,46.94
34.0403,46.4
34.0528,46.4
34.0674,46.4
34.0771,46.94
34.084,46.4
34.0896,46.4
34.1028,46.4
34.1132,46.4
34.1188,46.04
34.1285,46.4
34.1493,46.4
34.1604,46.04
34.1757,46.4
34.2021,46.04
34.2319,46.4
34.2368,46.4
34.2438,46.04
34.2854,46.04
34.3125,46.4
34.3271,46.04
34.3326,46.4
34.3375,46.4
34.3458,46.4
34.3688,46.04
34.3764,46.4
34.3979,46.4
34.4056,46.4
34.4104,46.04
34.4194,46.4
34.4278,46.4
34.4521,46.04
34.4653,46.4
34.4701,46.4
34.4799,46.4
34.4938,46.04
34.5014,46.4
34.5111,46.4
34.5181,46.4
34.5285,46.4
34.5354,46.04
34.5431,46.4
34.5771,46.94
34.6097,46.4
34.6188,46.94
34.6604,46.04
34.6646,46.4
34.675,46.4
34.6896,46.4
34.6931,46.4
34.7021,46.04
34.7049,46.4
34.7181,46.4
34.725,46.4
34.7361,44.6
34.741,46.4
34.7438,46.04
34.7694,46.4
34.7854,44.96
34.8271,44.96
34.8556,44.6
34.8688,44.96
34.8826,44.6
34.9104,44.96
34.9243,44.6
34.9521,44.96
34.9694,44.6
34.9757,44.6
34.9938,44.96
35.0028,44.6
35.0354,44.96
35.0458,44.6
35.0549,44.6
35.0681,44.6
35.0771,44.96
35.1188,44.96
35.1417,44.6
35.1604,44.96
35.1667,44.6
35.2021,44.96
35.2229,42.8
35.2438,44.06
35.2521,44.6
35.2674,44.6
35.2854,44.96
35.3271,44.96
35.3688,44.96
35.4104,46.04
35.4521,48.02
35.4812,50
35.4938,50
35.5354,50
35.5708,53.6
35.5771,53.06
35.6188,57.02
35.6604,59
35.6861,59
35.6937,57.2
35.7021,57.02
35.7438,55.94
35.7854,50
35.8271,46.94
35.8688,46.94
35.9104,46.04
35.9521,46.04
35.9938,44.96
36.0354,46.04
36.0771,44.96
36.1188,44.96
36.1604,42.98
36.2021,42.08
36.2438,39.92
36.2854,39.02
36.3271,42.08
36.3688,46.04
36.4104,46.94
36.4521,51.08
36.4938,53.06
36.5354,57.02
36.5771,57.92
36.6188,59
36.6604,60.08
36.7021,57.92
36.7438,53.96
36.7854,51.98
36.8271,50
36.8688,48.02
36.9104,46.94
36.9521,46.04
36.9938,44.06
37.0354,42.98
37.0771,42.98
37.1188,42.08
37.1604,42.08
37.1993,41
37.2021,41
37.216,41
37.2438,41
37.275,39.2
37.2854,41
37.3243,39.2
37.3271,39.92
37.3556,41
37.3688,42.08
37.4104,42.08
37.4521,42.98
37.4938,44.96
37.5354,46.04
37.5771,46.94
37.6188,46.94
37.6604,46.94
37.7021,48.02
37.7438,48.02
37.7854,48.02
37.8271,48.02
37.8361,48.2
37.8688,48.02
37.9104,48.92
37.9521,50
37.9938,51.08
38.0354,50
38.0646,51.8
38.0771,51.08
38.0847,51.8
38.1104,51.8
38.1188,51.08
38.1604,51.98
38.1937,53.6
38.2021,53.06
38.2118,53.6
38.2188,53.6
38.2264,53.6
38.2319,53.6
38.2361,53.6
38.2438,55.04
38.2854,55.04
38.3271,55.04
38.3444,55.4
38.3569,55.4
38.3625,55.4
38.3639,55.4
38.3688,55.04
38.375,55.4
38.3889,55.4
38.4014,57.2
38.4104,57.02
38.4292,57.2
38.4326,57.2
38.4396,60.8
38.4431,60.8
38.4521,60.98
38.4778,60.8
38.4938,62.96
38.5278,64.4
38.534,64.04
38.5389,64.4
38.5771,51.98
38.5819,50
38.5931,50
38.6097,51.8
38.6188,51.08
38.6604,51.98
38.6854,51.8
38.7021,51.08
38.7438,50
38.7854,48.02
38.8271,46.94
38.8688,46.04
38.9104,44.96
38.9521,44.06
38.9938,44.06
39.0354,42.98
39.0771,42.08
39.1188,41
39.1604,39.92
39.2021,39.92
39.2438,39.92
39.2757,37.4
39.2854,37.04
39.3042,35.6
39.3118,35.6
39.3271,35.96
39.3688,35.96
39.3819,37.4
39.4104,37.04
39.4521,39.92
39.4938,41
39.5354,44.96
39.5771,46.94
39.6188,46.94
39.6604,48.92
39.7021,46.94
39.7438,44.96
39.7854,42.98
39.8271,41
39.8688,39.92
39.9104,39.02
39.9521,39.02
39.9938,37.94
40.0354,37.04
40.0771,33.08
40.1188,33.98
40.1604,35.06
40.2021,35.06
40.2438,33.98
40.2854,33.98
40.3271,35.06
40.3688,37.04
40.4104,37.94
40.4521,39.02
40.4938,39.92
40.5354,39.92
40.5771,39.02
40.6188,39.02
40.6604,39.02
40.7021,37.94
40.7438,37.04
40.7854,37.04
40.8271,37.04
40.8688,37.04
40.9104,37.04
40.9521,37.04
40.9938,37.04
41.0354,37.04
41.0771,37.04
41.1188,37.04
41.1604,37.04
41.2021,37.04
41.2285,37.4
41.2438,37.04
41.2854,37.04
41.3271,37.04
41.3688,37.04
41.4104,37.94
41.4187,39.2
41.4444,39.2
41.4521,39.02
41.4646,39.2
41.4778,39.2
41.4875,39.2
41.4938,39.92
41.5354,39.92
41.5576,39.2
41.5771,39.92
41.5896,39.2
41.6167,39.2
41.6188,39.92
41.6243,39.2
41.6451,39.2
41.6604,39.92
41.691,39.2
41.7021,39.02
41.7181,39.2
41.7243,39.2
41.7368,37.4
41.7438,37.94
41.7549,37.4
41.7833,37.04
41.7889,37.4
41.8271,37.04
41.8361,35.6
41.8688,35.96
41.9104,35.96
41.9521,35.96
41.9667,37.4
41.9715,37.4
41.9792,37.4
41.9868,37.4
41.9938,37.04
42.0354,37.04
42.0771,37.04
42.1035,35.6
42.1188,35.96
42.1431,35.6
42.1604,35.06
42.1694,35.6
42.1799,35.6
42.1917,33.8
42.2021,33.98
42.2306,33.8
42.2438,35.06
42.2854,35.06
42.3063,35.6
42.3271,35.06
42.3361,35.6
42.3688,37.94
42.375,37.4
42.4104,39.02
42.4521,39.92
42.4938,41
42.5354,42.08
42.5771,44.06
42.6188,46.04
42.6604,46.94
42.6951,46.4
42.7021,46.94
42.7438,46.04
42.7854,42.08
42.8271,39.02
42.8688,37.94
42.9104,35.96
42.9521,35.06
42.9938,33.08
43.0354,33.08
43.0771,32
43.1188,30.92
43.1576,30.2
43.1604,30.02
43.1653,30.2
43.1681,30.2
43.1722,30.2
43.1861,30.2
43.1937,30.2
43.1986,32
43.2021,32
43.2097,33.8
43.216,33.8
43.2438,33.08
43.2542,33.8
43.2646,33.8
43.2854,33.08
43.3271,33.98
43.3382,33.8
43.3688,35.96
43.3785,35.6
43.3882,37.4
43.4104,39.92
43.4299,44.6
43.4521,46.94
43.4938,51.08
43.5354,53.96
43.5771,55.94
43.6188,57.02
43.6604,57.92
43.7021,57.02
43.7438,55.04
43.7854,53.06
43.8271,50
43.8688,48.02
43.9104,46.04
43.9521,44.96
43.9938,42.98
44.0354,42.98
44.0771,42.98
44.1188,42.98
44.1604,42.08
44.2021,42.08
44.2438,41
44.2854,39.02
44.3271,44.06
44.3688,48.92
44.4104,53.96
44.4521,60.98
44.4938,64.94
44.5354,66.92
44.5771,66.92
44.6188,68
44.6604,51.08
44.6708,48.2
44.6785,46.4
44.7021,44.06
44.716,44.6
44.7438,42.98
44.7611,42.8
44.7854,42.98
44.8271,42.08
44.8688,41
44.9104,41
44.9521,39.92
44.9938,37.94
45.0354,37.94
45.0771,37.04
45.1188,35.96
45.1604,35.06
45.2021,33.08
45.2438,33.08
45.2854,32
45.3271,33.08
45.3688,37.94
45.4104,42.08
45.4521,44.06
45.4938,46.94
45.5354,50
45.5771,53.96
45.6188,53.96
45.6604,53.96
45.7021,53.06
45.7438,51.08
45.7854,46.94
45.8271,44.96
45.8688,44.06
45.9104,42.98
45.9521,39.02
45.9938,35.96
46.0354,30.02
46.0771,33.98
46.1188,33.98
46.1604,33.98
46.2021,33.08
46.2438,33.08
46.2854,32
46.3271,33.08
46.3688,37.94
46.4104,42.98
46.4521,48.92
46.4938,53.96
46.5354,57.02
46.5771,57.02
46.6188,57.92
46.6604,57.92
46.7021,57.02
46.7438,55.04
46.7854,51.08
46.8271,46.04
46.8688,44.06
46.9104,44.96
46.9521,41
46.9938,39.92
47.0354,39.02
47.0771,37.04
47.1188,35.06
47.1604,30.02
47.2021,35.06
47.2438,33.98
47.2854,33.08
47.3271,35.06
47.3688,39.02
47.4104,44.96
47.4521,51.98
47.4938,55.04
47.5354,59
47.5771,60.08
47.6188,60.98
47.6604,60.98
47.7021,60.98
47.7438,57.02
47.7854,53.96
47.8271,51.08
47.8688,48.02
47.9104,46.04
47.9521,42.98
47.9938,41
48.0354,39.92
48.0771,39.02
48.1188,37.94
48.1604,37.94
48.2021,37.04
48.2438,35.06
48.2854,35.06
48.3271,35.06
48.3688,44.06
48.4104,51.08
48.4521,57.02
48.4938,60.08
48.5354,62.06
48.5771,62.96
48.6188,62.96
48.6604,62.06
48.7021,60.08
48.7438,59
48.7854,57.02
48.8271,55.04
48.8688,53.96
48.9104,53.06
48.9521,51.98
48.9938,51.98
49.0354,51.98
49.0771,51.08
49.1188,51.08
49.1604,50
